COURSE #,TITLE/START DATE,Acad Level,CAPACITY,# OF STUDENTS,STATUS,INSTRUCTOR,Start Time,End Time,Meeting Days,Bldg,Room,XLIST CRS,FEE,Min Cred,Max Cred,COREQ CRS,Section,Term,Seq No,Schools,,,,,,,,,,,,,,Acad Level
GCYSEC_501_0C,Networking Fundmntl,GR,25,0,Open,Dr R Khan,10:30AM,11:50AM,W F,IHK,203,,,3.00,0.00,,0C,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCYSEC_502_0A,Cybersec Foundtn,GR,25,0,Open,Mr P Capelli,04:30PM,05:50PM,M W,IHK,203,,,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_502_0B,Cybersec Foundtn,GR,25,0,Open,Mr P Capelli,06:00PM,07:20PM,T TH,IHK,205,,,3.00,0.00,,0B,24/FA,1,ASSEC,,,,,,,,,,,,,,
GCYSEC_502_OC,Cybersec Foundtn,GR,24,0,Open,Mr P Capelli,01:30PM,02:50PM,T TH,IHK,205,,,3.00,0.00,,OC,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_503_NB,Security Ldrshp 08/19 - 11/30,GR,25,0,Open,Staff,,,,ON,ONLINE,,,3.00,0.00,,NB,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_503_NC,Security Ldrshp 08/19 - 11/30,GR,25,0,Open,Staff,,,,ON,ONLINE,,,3.00,0.00,,NC,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_504_0A,Cybersec Mgmt,GR,25,0,Open,Dr S Tweneboah Koduah,03:00PM,04:20PM,M W,IHK,205,,,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_504_0B,Cybersec Mgmt,GR,25,0,Open,Dr S Tweneboah Koduah,06:00PM,07:20PM,M W,IHK,205,,,3.00,0.00,,0B,24/FA,1,ASSEC,,,,,,,,,,,,,,
GCYSEC_605_0A,Asset Secrty & Risk Mangmt 10/14 - 11/30,GR,25,0,Open,Staff,,,,ON,ONLINE,,,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_605_NA,Asset Secrty & Risk Mangmt 10/14 - 11/30,GR,25,0,Open,Staff,,,,ON,ONLINE,,,3.00,0.00,,NA,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_606_0A,Security Arch Info Comm Netwrk,GR,20,0,Open,Mr J Coffman,01:25PM,02:45PM,M W,IHK,206,,,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_606_0B,Security Arch Info Comm Netwrk,GR,20,0,Open,Mr J Coffman,04:30PM,05:50PM,T TH,IHK,206,,,3.00,0.00,,0B,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_607_0A,Assessment Identity Access Mgm 08/19 - 10/05,GR,30,0,Open,Mr J Stogner,,,,ON,ONLINE,,,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_607_NA,Assessment Identity Access Mgm 08/19 - 10/05,GR,30,0,Open,Mr J Stogner,,,,ON,ONLINE,,,3.00,0.00,,NA,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_691_0A,Penetration Testing,GR,30,0,Open,Dr R Khan,12:00PM,01:20PM,T TH,IHK,204,,,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_691_0B,Penetration Testing,GR,25,0,Open,Dr R Khan,06:00PM,07:20PM,T TH,IHK,203,,,3.00,0.00,,0B,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_698_0A,Directed Project,GR,10,0,Open,Dr Y Liu,,,,BY-,ARR,,,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_698_0B,Directed Project,GR,10,0,Open,Dr S Manakkadu,,,,BY-,ARR,,,3.00,0.00,,0B,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_698_0C,Directed Project,GR,10,0,Open,Dr R Matovu,,,,BY-,ARR,,,3.00,0.00,,0C,24/FA,1,ASSEC,,,,,,,,,,,,,,
GCYSEC_698_0D,Directed Project,GR,10,0,Open,Dr J Nwokeji,,,,BY-,ARR,,,3.00,0.00,,0D,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_698_0E,Directed Project,GR,10,0,Open,Dr M Rahman,,,,BY-,ARR,,,3.00,0.00,,0E,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_698_0F,Directed Project,GR,10,0,Open,Dr M Tang,,,,BY-,ARR,,,3.00,0.00,,0F,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_698_0G,Directed Project,GR,10,0,Open,Dr J Tong,,,,BY-,ARR,,,3.00,0.00,,0G,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_698_0H,Directed Project,GR,10,0,Open,Dr K Wang,,,,BY-,ARR,,,3.00,0.00,,0H,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_698_0I,Directed Project,GR,10,0,Open,Dr R Bazan-Antequera,,,,BY-,ARR,,,3.00,0.00,,0I,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_698_0J,Directed Project,GR,10,0,Open,Dr R Khan,,,,BY-,ARR,,,3.00,0.00,,0J,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_698_0K,Directed Project,GR,10,0,Open,Dr S Tweneboah Koduah,,,,BY-,ARR,,,3.00,0.00,,0K,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_698_0L,Directed Project,GR,10,0,Open,Mr P Capelli,,,,BY-,ARR,,,3.00,0.00,,0L,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_698_0M,Directed Project,GR,10,0,Open,Ms M Obaid,,,,BY-,ARR,,,3.00,0.00,,0M,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
GCYSEC_698_0N,Directed Project,GR,10,0,Open,Ms Q Zhang,,,,BY-,ARR,,,3.00,0.00,,0N,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
IS_340_01,Manage IS Infra Cloud,UG,25,0,Open,Dr J Nwokeji,12:20PM,01:15PM,M W F,Z,355,,$70,3.00,0.00,,01,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
